Branch,Opening_Rank,Closing_Rank,Category,Main_Category,Quota,Gender,Year,Source_File
IT,18805.0,27959.0,UR/X/OP,UR,X,OP,2021,2021_round1.pdf
IT,18487.0,31227.0,UR/X/F,UR,X,F,2021,2021_round1.pdf
IT,34253.0,34253.0,OBC/NCC/OP,OBC,NCC,OP,2021,2021_round1.pdf
IT,28125.0,34372.0,OBC/X/OP,OBC,X,OP,2021,2021_round1.pdf
IT,39302.0,39302.0,UR/S/OP,UR,S,OP,2021,2021_round1.pdf
IT,34470.0,40035.0,OBC/X/F,OBC,X,F,2021,2021_round1.pdf
IT,110250.0,132532.0,SC/X/OP,SC,X,OP,2021,2021_round1.pdf
IT,148607.0,148607.0,UR/S/F,UR,S,F,2021,2021_round1.pdf
IT,155314.0,194307.0,SC/X/F,SC,X,F,2021,2021_round1.pdf
IT,308951.0,308951.0,UR/FF/F,UR,FF,F,2021,2021_round1.pdf
IT,237547.0,314426.0,ST/X/OP,ST,X,OP,2021,2021_round1.pdf
IT,277779.0,324852.0,ST/X/F,ST,X,F,2021,2021_round1.pdf
IT,469279.0,469279.0,UR/H/OP,UR,H,OP,2021,2021_round1.pdf
IT,553899.0,553899.0,OBC/H/OP,OBC,H,OP,2021,2021_round1.pdf
MECH,47863.0,54759.0,UR/X/OP,UR,X,OP,2021,2021_round1.pdf
MECH,45383.0,59588.0,FW/OP,FW,OP,,2021,2021_round1.pdf
MECH,73814.0,73814.0,UR/S/OP,UR,S,OP,2021,2021_round1.pdf
MECH,45487.0,74995.0,OBC/X/OP,OBC,X,OP,2021,2021_round1.pdf
MECH,65135.0,75318.0,EWS,EWS,,,2021,2021_round1.pdf
MECH,23603.0,77707.0,UR/X/OP,UR,X,OP,2021,2021_round1.pdf
MECH,82698.0,94180.0,OBC/X/F,OBC,X,F,2021,2021_round1.pdf
MECH,50507.0,97570.0,UR/X/F,UR,X,F,2021,2021_round1.pdf
MECH,152952.0,152952.0,UR/FF/OP,UR,FF,OP,2021,2021_round1.pdf
MECH,167089.0,167089.0,UR/NCC/OP,UR,NCC,OP,2021,2021_round1.pdf
MECH,142870.0,283634.0,SC/X/OP,SC,X,OP,2021,2021_round1.pdf
MECH,347555.0,347555.0,UR/S/F,UR,S,F,2021,2021_round1.pdf
MECH,250893.0,390941.0,SC/X/F,SC,X,F,2021,2021_round1.pdf
