branch,opening_rank,closing_rank,category,main_category,quota,gender,year,source_file
Electronics and Telecommunications,64638,75143,OBC/X/F,OBC,X,F,2022,2022_round2.pdf
Electronics and Telecommunications,253046,261086,ST/X/OP,ST,X,OP,2022,2022_round2.pdf
Electronics and Telecommunications,352252,462794,ST/X/F,ST,X,F,2022,2022_round2.pdf
IP,69000,95886,UR/X/OP,UR,X,OP,2022,2022_round2.pdf
IP,77049,109863,UR/X/OP,UR,X,OP,2022,2022_round2.pdf
IP,113638,113638,UR/X/F,UR,X,F,2022,2022_round2.pdf
IP,93722,114615,FW/OP,FW,OP,OP,2022,2022_round2.pdf
IP,129920,185938,EWS,EWS,,OP,2022,2022_round2.pdf
IP,193292,361921,SC/X/OP,SC,X,OP,2022,2022_round2.pdf
IP,635143,635143,ST/X/F,ST,X,F,2022,2022_round2.pdf
IP,446030,902406,ST/X/OP,ST,X,OP,2022,2022_round2.pdf
IT,23514,23514,UR/S/OP,UR,S,OP,2022,2022_round2.pdf
IT,23952,23952,FW/OP,FW,OP,OP,2022,2022_round2.pdf
IT,22366,28872,UR/X/OP,UR,X,OP,2022,2022_round2.pdf
IT,26582,29567,UR/X/OP,UR,X,OP,2022,2022_round2.pdf
IT,25577,31016,EWS,EWS,,OP,2022,2022_round2.pdf
IT,26563,31710,UR/X/F,UR,X,F,2022,2022_round2.pdf
IT,28201,36678,OBC/X/OP,OBC,X,OP,2022,2022_round2.pdf
IT,43397,43397,OBC/X/F,OBC,X,F,2022,2022_round2.pdf
IT,102111,102111,SC/X/OP,SC,X,OP,2022,2022_round2.pdf
IT,176502,193711,SC/X/F,SC,X,F,2022,2022_round2.pdf
IT,133860,210979,ST/X/OP,ST,X,OP,2022,2022_round2.pdf
IT,376358,376358,OBC/H/OP,OBC,H,OP,2022,2022_round2.pdf
MECH,59035,59035,UR/X/OP,UR,X,OP,2022,2022_round2.pdf
MECH,64695,64695,FW/OP,FW,OP,OP,2022,2022_round2.pdf
MECH,53780,68267,UR/X/OP,UR,X,OP,2022,2022_round2.pdf
MECH,60060,70164,OBC/X/OP,OBC,X,OP,2022,2022_round2.pdf
MECH,70638,73892,EWS,EWS,,OP,2022,2022_round2.pdf
MECH,78374,86161,UR/X/F,UR,X,F,2022,2022_round2.pdf
MECH,129942,129942,UR/S/OP,UR,S,OP,2022,2022_round2.pdf
MECH,136544,136544,OBC/X/F,OBC,X,F,2022,2022_round2.pdf
MECH,240103,240103,ST/X/F,ST,X,F,2022,2022_round2.pdf
MECH,229820,258057,ST/X/OP,ST,X,OP,2022,2022_round2.pdf
MECH,277428,277428,OBC/S/OP,OBC,S,OP,2022,2022_round2.pdf
CE,829231,829231,OBC/X/OP,OBC,X,OP,2022,2022_round2.pdf
CSE,363758,455057,UR/X/OP,UR,X,OP,2022,2022_round2.pdf
CSE,553519,553519,ST/X/OP,ST,X,OP,2022,2022_round2.pdf
CSE,630663,630663,SC/X/OP,SC,X,OP,2022,2022_round2.pdf
CSE,721771,721771,FW/OP,FW,OP,OP,2022,2022_round2.pdf
CSE,557510,812922,OBC/X/OP,OBC,X,OP,2022,2022_round2.pdf
EC,100753,100753,UR/X/OP,UR,X,OP,2022,2022_round2.pdf
AIML,457960,498510,UR/X/OP,UR,X,OP,2022,2022_round2.pdf
CSE,150785,150785,FW/OP,FW,OP,OP,2022,2022_round2.pdf
CSE,254250,254250,UR/X/OP,UR,X,OP,2022,2022_round2.pdf
CSE,799822,799822,OBC/X/OP,OBC,X,OP,2022,2022_round2.pdf
IP,360804,487363,SC/X/F,SC,X,F,2023,2023_round1.pdf
IP,424816,763407,SC/X/OP,SC,X,OP,2023,2023_round1.pdf
IP,934394,934394,ST/X/F,ST,X,F,2023,2023_round1.pdf
IP,521568,521568,UR/S/OP,UR,S,OP,2023,2023_round1.pdf
IP,117962,171071,UR/X/F,UR,X,F,2023,2023_round1.pdf
IP,75393,90933,UR/X/OP,UR,X,OP,2023,2023_round1.pdf
IP,89436,139074,UR/X/OP,UR,X,OP,2023,2023_round1.pdf
IT,27578,32558,EWS,EWS,,OP,2023,2023_round1.pdf
IT,26783,31409,FW/OP,FW,OP,OP,2023,2023_round1.pdf
IT,979460,979460,OBC/H/F,OBC,H,F,2023,2023_round1.pdf
IT,124256,124256,OBC/NCC/OP,OBC,NCC,OP,2023,2023_round1.pdf
IT,89683,89683,OBC/S/OP,OBC,S,OP,2023,2023_round1.pdf
IT,44711,58612,OBC/X/F,OBC,X,F,2023,2023_round1.pdf
IT,34182,41270,OBC/X/OP,OBC,X,OP,2023,2023_round1.pdf
IT,578285,578285,SC/H/OP,SC,H,OP,2023,2023_round1.pdf
IT,458302,458302,SC/S/OP,SC,S,OP,2023,2023_round1.pdf
IT,153520,180478,SC/X/F,SC,X,F,2023,2023_round1.pdf
IT,132180,157698,SC/X/OP,SC,X,OP,2023,2023_round1.pdf
IT,284286,394150,ST/X/F,ST,X,F,2023,2023_round1.pdf
IT,220538,329025,ST/X/OP,ST,X,OP,2023,2023_round1.pdf
IT,102281,102281,UR/FF/F,UR,FF,F,2023,2023_round1.pdf
IT,469469,469469,UR/H/OP,UR,H,OP,2023,2023_round1.pdf
IT,169522,169522,UR/NCC/F,UR,NCC,F,2023,2023_round1.pdf
IT,170607,170607,UR/S/F,UR,S,F,2023,2023_round1.pdf
IT,47493,50611,UR/S/OP,UR,S,OP,2023,2023_round1.pdf
IT,32452,37932,UR/X/F,UR,X,F,2023,2023_round1.pdf
IT,22584,29747,UR/X/OP,UR,X,OP,2023,2023_round1.pdf
IT,26851,35507,UR/X/OP,UR,X,OP,2023,2023_round1.pdf
MECH,67967,78308,EWS,EWS,,OP,2023,2023_round1.pdf
MECH,53066,71707,FW/OP,FW,OP,OP,2023,2023_round1.pdf
MECH,126336,126336,OBC/S/OP,OBC,S,OP,2023,2023_round1.pdf
MECH,70574,97958,OBC/X/F,OBC,X,F,2023,2023_round1.pdf
MECH,66839,74758,OBC/X/OP,OBC,X,OP,2023,2023_round1.pdf
MECH,318477,351581,SC/X/F,SC,X,F,2023,2023_round1.pdf
MECH,174038,330096,SC/X/OP,SC,X,OP,2023,2023_round1.pdf
MECH,464512,557591,ST/X/F,ST,X,F,2023,2023_round1.pdf
MECH,297259,587774,ST/X/OP,ST,X,OP,2023,2023_round1.pdf
MECH,279483,279483,UR/NCC/F,UR,NCC,F,2023,2023_round1.pdf
MECH,214486,214486,UR/S/OP,UR,S,OP,2023,2023_round1.pdf
MECH,228978,228978,UR/S/OP,UR,S,OP,2023,2023_round1.pdf
MECH,83699,97524,UR/X/F,UR,X,F,2023,2023_round1.pdf
MECH,60893,70010,UR/X/OP,UR,X,OP,2023,2023_round1.pdf
MECH,36576,77349,UR/X/OP,UR,X,OP,2023,2023_round1.pdf
CE,233100,233100,FW/OP,FW,OP,OP,2023,2023_round1.pdf
CE,804002,804002,OBC/X/OP,OBC,X,OP,2023,2023_round1.pdf
CE,828955,828955,SC/X/OP,SC,X,OP,2023,2023_round1.pdf
CE,192658,773282,UR/X/OP,UR,X,OP,2023,2023_round1.pdf
CSE,19218,19218,FW/OP,FW,OP,OP,2023,2023_round1.pdf
CSE,386629,891475,OBC/X/OP,OBC,X,OP,2023,2023_round1.pdf
CSE,1001263,1069911,SC/X/OP,SC,X,OP,2023,2023_round1.pdf
CSE,256031,969694,UR/X/OP,UR,X,OP,2023,2023_round1.pdf
EC,218262,218262,OBC/X/OP,OBC,X,OP,2023,2023_round1.pdf
EC,106394,106394,UR/X/OP,UR,X,OP,2023,2023_round1.pdf
MECH,1060384,1060384,SC/X/OP,SC,X,OP,2023,2023_round1.pdf
IP,700697,700697,ST/X/OP,ST,X,OP,2023,2023_round2.pdf
IP,228978,521568,UR/S/OP,UR,S,OP,2023,2023_round2.pdf
IP,143683,228755,UR/X/F,UR,X,F,2023,2023_round2.pdf
IP,107086,151207,UR/X/OP,UR,X,OP,2023,2023_round2.pdf
IP,124735,155978,UR/X/OP,UR,X,OP,2023,2023_round2.pdf
IT,60180,60455,EWS,EWS,,OP,2023,2023_round2.pdf
IT,49553,49553,FW/OP,FW,OP,OP,2023,2023_round2.pdf
IT,51560,55314,OBC/X/OP,OBC,X,OP,2023,2023_round2.pdf
IT,182181,182181,SC/X/F,SC,X,F,2023,2023_round2.pdf
IT,166468,173065,SC/X/OP,SC,X,OP,2023,2023_round2.pdf
IT,128162,189917,ST/X/OP,ST,X,OP,2023,2023_round2.pdf
IT,616512,616512,UR/H/OP,UR,H,OP,2023,2023_round2.pdf
IT,64745,66526,UR/X/F,UR,X,F,2023,2023_round2.pdf
IT,29903,37162,UR/X/OP,UR,X,OP,2023,2023_round2.pdf
IT,50541,60286,UR/X/OP,UR,X,OP,2023,2023_round2.pdf
MECH,111578,112732,EWS,EWS,,OP,2023,2023_round2.pdf
MECH,107506,116963,FW/OP,FW,OP,OP,2023,2023_round2.pdf
